Case Name,samples,errors,errorPercentage,throughput,min,max,mean,stddev,median,p75,p90,p95,p98,p99,p999,receivedKBytesRate,sentKBytesRate
DBRead_20_tomcat,663846,0,0.0,50.89,26,610,97.33,32.91,83.0,124.0,134.0,148.0,177.0,200.0,285.0,4.27,6.11
DBRead_20_20,1191017,534551,44.88,91.29,0,1028,54.19,54.64,66.0,84.0,126.0,134.0,158.0,183.0,275.0,110.09,6.04
DBRead_20_50,398972,0,0.0,35.52,33,534,95.96,31.02,83.0,124.0,133.0,140.0,166.0,191.0,279.0,2.98,4.27
DBRead_20_100,399168,0,0.0,35.53,33,568,95.91,30.86,83.0,118.0,133.0,141.0,167.0,191.0,275.0,2.98,4.27
DBRead_20_200,397089,0,0.0,35.34,33,595,96.41,31.4,83.0,124.0,133.0,142.0,173.0,192.0,277.0,2.96,4.25
DBRead_20_300,671051,326317,48.63,59.72,0,1021,49.88,53.34,66.0,83.0,125.0,133.0,143.0,167.0,259.0,77.61,3.68
DBRead_20_500,259434,0,0.0,23.06,33,627,96.84,32.15,83.0,124.0,133.0,142.0,173.0,193.0,277.0,1.93,2.77
DBRead_50_tomcat,318762,47952,15.04,531.27,3,557,93.72,46.26,83.0,125.0,142.0,166.0,200.0,227.0,359.0,223.69,54.22
DBRead_50_20,123419,0,0.0,205.66,109,758,243.03,53.63,234.0,269.0,309.0,343.0,373.0,397.0,473.0,17.25,24.7
DBRead_50_50,331521,59918,18.07,552.57,2,601,90.02,44.74,83.0,123.0,137.0,157.0,192.0,215.0,337.0,270.19,54.38
DBRead_50_100,323180,51872,16.05,538.6,3,839,92.42,46.0,83.0,124.0,140.0,163.0,198.0,229.0,357.0,238.93,54.31
DBRead_50_200,331003,58710,17.74,551.74,3,596,90.21,44.52,82.0,125.0,138.0,152.0,188.0,217.0,331.0,265.62,54.52
DBRead_50_300,331151,58320,17.61,551.91,3,586,90.2,44.69,83.0,123.0,137.0,155.0,191.0,217.0,327.0,264.15,54.62
DBRead_50_500,339757,67756,19.94,566.28,2,571,87.85,44.46,82.0,120.0,135.0,152.0,185.0,216.0,331.0,300.61,54.46
DBRead_100_tomcat,642417,360097,56.05,1070.79,2,722,92.15,62.43,83.0,133.0,176.0,196.0,224.0,263.0,421.0,1435.09,56.52
DBRead_100_20,123633,0,0.0,205.95,299,952,485.53,70.95,485.0,523.0,571.0,603.0,651.0,683.0,831.0,17.28,24.74
DBRead_100_50,360492,89204,24.75,600.88,2,744,166.01,83.25,187.0,212.0,239.0,287.0,341.0,367.0,575.0,383.66,54.32
DBRead_100_100,648429,366109,56.46,1080.81,2,783,91.34,63.73,83.0,132.0,177.0,199.0,228.0,263.0,411.0,1458.39,56.52
DBRead_100_200,647130,364810,56.37,1078.65,2,661,91.33,62.8,83.0,133.0,176.0,196.0,223.0,259.0,389.0,1453.37,56.52
DBRead_100_300,643074,360754,56.1,1071.9,2,679,92.08,62.48,83.0,132.0,175.0,195.0,225.0,269.0,385.0,1437.66,56.53
DBRead_100_500,652069,369749,56.7,1086.89,2,529,90.58,59.96,83.0,130.0,172.0,192.0,217.0,251.0,353.0,1472.51,56.52
DBRead_200_tomcat,808335,526015,65.07,1347.3,2,2233,145.36,125.08,108.0,217.0,329.0,379.0,413.0,457.0,1103.0,2078.06,56.52
DBRead_200_20,123683,0,0.0,205.82,634,1506,970.13,110.47,963.0,1047.0,1103.0,1151.0,1207.0,1255.0,1455.0,17.26,24.72
DBRead_200_50,405591,134057,33.05,675.62,2,1813,295.69,184.54,343.0,415.0,479.0,531.0,587.0,631.0,1415.0,557.17,54.33
DBRead_200_100,664436,382116,57.51,1107.49,2,1757,177.74,131.06,174.0,250.0,345.0,387.0,421.0,465.0,1239.0,1520.42,56.52
DBRead_200_200,807822,525502,65.05,1346.47,2,2321,144.38,133.82,105.0,212.0,333.0,387.0,425.0,473.0,1167.0,2076.11,56.52
DBRead_200_300,822553,540233,65.68,1371.01,2,1360,142.2,124.63,104.0,213.0,333.0,383.0,417.0,441.0,1087.0,2133.18,56.52
DBRead_200_500,816940,534620,65.44,1361.64,2,2154,142.84,125.07,106.0,215.0,333.0,385.0,419.0,445.0,779.0,2111.41,56.52
DBRead_300_tomcat,817311,534991,65.46,1362.11,2,4102,212.97,199.88,158.0,315.0,499.0,579.0,635.0,771.0,1335.0,2112.62,56.52
DBRead_300_20,123266,0,0.0,204.96,972,2062,1460.56,148.58,1455.0,1567.0,1647.0,1719.0,1791.0,1839.0,1943.0,17.19,24.62
DBRead_300_50,440806,169436,38.44,734.1,3,1931,406.68,288.49,471.0,615.0,711.0,779.0,871.0,1343.0,1695.0,694.01,54.28
DBRead_300_100,682157,399837,58.61,1136.83,2,1751,258.55,209.44,244.0,369.0,507.0,587.0,687.0,1191.0,1447.0,1588.83,56.51
DBRead_300_200,828066,545746,65.91,1380.06,2,3276,211.47,214.81,142.0,307.0,501.0,591.0,687.0,1127.0,1639.0,2154.34,56.52
DBRead_300_300,817722,535402,65.47,1362.78,2,11300,213.81,348.17,128.0,285.0,485.0,579.0,647.0,1143.0,4255.0,2114.19,56.52
DBRead_300_500,819836,537516,65.56,1366.18,2,12337,214.01,331.52,130.0,295.0,489.0,575.0,635.0,1055.0,4223.0,2122.19,56.51
