Case Name,Average Threads,Average Throughput (req/sec),Average Latency (ms)
DBRead_20_tomcat,25.0,204.68484848484854,95.64494400915713
DBRead_20_20,20.0,203.88181818181826,96.06151560104328
DBRead_20_50,50.0,207.3939393939394,93.69082322969594
DBRead_20_100,100.0,205.81363636363642,94.64674693601279
DBRead_20_200,200.0,208.1106060606061,93.30167337021763
DBRead_20_300,300.0,206.36969696969703,94.31551393345732
DBRead_20_500,500.0,206.519696969697,94.05903121931748
DBRead_50_tomcat,50.0,451.9560606060606,94.59211465867517
DBRead_50_20,20.0,204.4287878787879,241.32994049234992
DBRead_50_50,50.0,452.80757575757576,93.00053365504716
DBRead_50_100,100.0,452.4424242424241,94.33709881493805
DBRead_50_200,200.0,453.6181818181818,92.52461944362001
DBRead_50_300,300.0,453.6696969696969,93.07717687415573
DBRead_50_500,500.0,454.26363636363646,91.50600329508482
DBRead_100_tomcat,100.0,470.5333333333333,95.75051706133544
DBRead_100_20,20.0,205.04696969696977,483.3536776077865
DBRead_100_50,50.0,453.21060606060604,190.34706849318644
DBRead_100_100,100.0,470.53333333333325,96.23833899256914
DBRead_100_200,200.0,470.53333333333325,96.25213016621326
DBRead_100_300,300.0,470.5333333333334,96.78372990459438
DBRead_100_500,500.0,470.5333333333332,93.87287937194701
DBRead_200_tomcat,200.0,470.5333333333334,103.30516268491284
DBRead_200_20,20.0,205.90757575757578,962.1570624207886
DBRead_200_50,50.0,453.02575757575755,375.7957266086462
DBRead_200_100,100.0,470.5333333333334,186.9301896632072
DBRead_200_200,200.0,470.5333333333334,102.87970673264998
DBRead_200_300,300.0,470.53333333333336,100.96112417665607
DBRead_200_500,500.0,470.53333333333325,103.8693613809328
DBRead_300_tomcat,200.0,470.5333333333334,139.31337230739277
DBRead_300_20,20.0,204.69090909090912,1455.7609194660563
DBRead_300_50,50.0,452.6212121212121,554.3505767009336
DBRead_300_100,100.0,470.5333333333334,265.4619727665048
DBRead_300_200,200.0,470.5333333333333,122.38066573722908
DBRead_300_300,300.0,470.5333333333334,175.7762533617379
DBRead_300_500,500.0,470.5333333333334,161.57478292804706
DBWrite_20_tomcat,26.575757575757574,209.93181818181822,92.95136410937191
DBWrite_20_20,20.0,210.93181818181822,92.63523408784182
DBWrite_20_50,50.0,211.45303030303035,92.00192493311181
DBWrite_20_100,100.0,210.83030303030304,92.16481011564376
DBWrite_20_200,200.0,210.57121212121208,91.9593503490821
DBWrite_20_300,300.0,210.19696969696975,92.71942379547812
DBWrite_20_500,500.0,209.66666666666674,92.61882184755433
DBWrite_50_tomcat,50.0,454.20909090909083,91.50167751603512
DBWrite_50_20,20.0,210.05151515151513,235.02329507757582
DBWrite_50_50,50.0,453.6469696969698,91.49670889568674
DBWrite_50_100,100.0,453.67878787878806,90.64566200052414
DBWrite_50_200,200.0,454.6893939393938,90.37617805397987
DBWrite_50_300,300.0,454.35,90.49426935584528
DBWrite_50_500,500.0,453.3424242424242,91.20776745526582
DBWrite_100_tomcat,100.0,470.53333333333353,96.56087107426139
DBWrite_100_20,20.0,211.40909090909093,467.7175585013529
DBWrite_100_50,50.0,454.72878787878807,187.06317707760007
DBWrite_100_100,100.0,470.5333333333333,94.8854356754152
